Day	Start Time	End Time	Room	Genra	Panel Title	Panel Description	Panel participants
Sat	09:30:00 AM	10:30:00 AM	A6	Lit	Young Adult Literature	Our popular Saturday Morning panel is back. Share your favorite young adult fantasy series of yesteryear and discuss what's new in Children's Lit in the past year.	Heidi Johnson, Jen Manna, Joan Marquez, Amanda Newman, Catherine Schaff-Stump, Beth Scudder, Electra Vincent
Sat	09:30:00 AM	10:30:00 AM	Edina	TV	Saturday Morning Cartoons Made Me Gay!	Looking back at popular performers from our childhood who were gay (Paul Lynde, Charles Nelson Reilly, Dick Sargent) or who had gay sensibilities (Jonathan Harris, John Ritter) as well as cartoon characters from the era (He-Man, Superfriends, Lidsville, etc) it's clear to see the gay subtext or sensibility. What effect did these characters and icons have on us? Did they help us become who we are?	Joe Agee, Andrew Berthke, Paul Harmeyer, Don Kaiser, Claudia Slovacek, Jason Tucker
Sat	09:30:00 AM	10:30:00 AM	P1	AV	Art of Movie Posters	Movie posters are just as collectible as old film reels (sometimes more so). What are your favorite movie posters and what rarities are you still seeking? Do the movie posters today live up to the golden age of yesteryear?	Romeo Azar, Jay Knowles, Robert Meyer Burnett
Sat	11:00:00 AM	12:00:00 PM	101	Proj	Science!	Join our science guests of honor as they demonstrate some simple and basic science experiments (like a wave machine and miniature volcano) using easy to find household items.	Dr. Jim Kakalios, Bridget Landry
Sat	11:00:00 AM	12:00:00 PM	A2	Gaming	Wii: The Changing Face of Gaming	How has the Wii changed the face of gaming? Has it brought back people who've been away from the home console scene? Is there more to the Wii than news stories about its use in retirement homes?	Dave Benhart, Andrew Davies, Matt Everhart, Shannon Grady, Tim Wick
Sat	11:00:00 AM	12:00:00 PM	A3	Comics	Working in Comics	What is it like working in the comic industry as a livelihood? What's the day to day working grind like?	Terry Beatty, Christopher Jones, Melissa Kaercher
Sat	11:00:00 AM	12:00:00 PM	A4	HotDish	Return of the Clubs!	A long-standing convention tradition, the club fan-faire has returned in a new format. Come and learn about local fan clubs specializing in a variety of genres and public service. There's a club out there for everyone! Come and promote your local fan organization.	Seth Chmelik, Ed Cook, Jodie Gustafson, Gwen Kachelmyer, Neil Monson, John Neitz
Sat	11:00:00 AM	12:00:00 PM	A6	Lit	Living with a Writer	Significant others of writers and artist trade stories and tips about the joys and challenges of living with a creative person.	Cynthia Booth, Jennifer Lynch, Sherry Merriam
Sat	11:00:00 AM	12:00:00 PM	A7	Science	Parrots as Companions	The Parrot Adoption Education Program invites you to see companion birds up close, learn about the animals, and the non-profit organization that is involved in the rehabilitation and fostering of companion parrots.	Gail Hildebrand, Jeff Hildebrand, Renee Quimby
Sat	11:00:00 AM	12:00:00 PM	A8	HotDish	High Level Creativity	Fandom tends to attract those with imaginations. A high level of creativity is prevalent in everything from writing, art and costuming, to designing game campaigns for your friends. Come and discuss these unique traits for both individuals and as a community in general.	Holly Day, Paula Fleming, Laramie Sasseville, Gordon Smuder, Dave Walbridge, Anna Waltz
Sat	11:00:00 AM	12:00:00 PM	Bloom	Movies	Blurring of the Lines	Movies like Sin City, Sky Captain, The Spirit, and Beowulf have blurred the lines between live action and computer-generated animation. What films have benefited from this merging of technology and which stories are ideal for this approach in the future?	Craig Finseth, Jeremy Stomberg, Matt Waterhouse
Sat	11:00:00 AM	12:00:00 PM	Edina	TV	Renaissance of Buffy & Angel	It's time to revisit the epic saga of Buffy and Angel. All 254 episodes of it and how it's continuing thanks to comic books and novels.	Jerrod Balzer, Christa Dickson, Philip Kaveny, Lars Pearson, Michael D. Thomas, Greg Weisman
Sat	11:00:00 AM	12:00:00 PM	Kr	HotDish	Open Discussion 3	Open Discussion	come and join the geek chat!
Sat	11:00:00 AM	12:00:00 PM	LL	Lit	Michael Merriam Reading	Join Michael Merriam for a reading from one of his works.	Michael Merriam
Sat	11:00:00 AM	12:00:00 PM	P1	TV	Shiny New Anime	A guide to the latest and greatest animated efforts hailing from Japan. Come and see what you can look forward to in future releases, get some recommendations, and review what's been released in the past 365 days.	Jessi Silver, Boris Smelov, Jo Thomsen
Sat	11:00:00 AM	12:00:00 PM	Sign	Auto	Signing w/ Len & Bernie	Signing/Autographing	Len Wein, Bernie Wrightson
Sat	12:30:00 PM	01:30:00 PM	101	Proj	Origami	Learn the basics of this beautiful and ancient Japanese art of paper folding.	Angie Anderson
Sat	12:30:00 PM	01:30:00 PM	A2	Gaming	Women and Gaming	Yes we play them! Why don't the game companies realize that they write for an audience that includes women? There's more out there than Cooking Mama and the Imagine series, after all...	Nessa Fedde, Mariah Fryer, Beth Kinderman, Rachel Kronick, Jen Manna, Laine Worth
Sat	12:30:00 PM	01:30:00 PM	A3	Comics	Secret Origins of Swamp Thing	Join the co-creators of Swamp Thing and learn about how the character came about and which direction Len and Bernie would like to see their creation progress.	Len Wein, Bernie Wrightson
Sat	12:30:00 PM	01:30:00 PM	A4	HotDish	Morris Dance Workshop	Learn about this form of English folk dance accompanied by music. It is based on rhythmic stepping and the execution of choreographed figures by a group of dancers.	Don Kaiser
Sat	12:30:00 PM	01:30:00 PM	A6	Lit	The Works of Mercedes Lackey	Join Mercedes Lackey for an hour-long discussion of her body of work to date and her plans for future novels, moderated by David Lenander, a member of The Rivendell Group, a fantasy book discussion group that has met regularly since 1973.	ASL Interpreter, Mercedes Lackey, David Lenander, Video Team
Sat	12:30:00 PM	01:30:00 PM	A7	Science	Not All FTL Drives Are Made the Same	Debate the advantages and disadvantages of various theoretical faster-than-light spaceship drives.	Seth Chmelik, Craig Finseth, G. David Nordley, Pat Sullivan
Sat	12:30:00 PM	01:30:00 PM	A8	HotDish	Evolution of Social Networking	From local bulletin board forums, newsgroups, and IRC to the modern labyrinth of FaceBook and MySpace, how have message boards changed over time? You may be surprised that some of your old haunts aren't as abandoned as you think!	Michael Lee, Greg Prickman, Michael Scott Shappe, Aaron Vander Giessen
Sat	12:30:00 PM	01:30:00 PM	Bloom	Movies	Pixar Panel	Talkies? Is the fad over? How brilliant is Pixar's Wall-E? Is dialogue overrated? Discuss the recent film and how it holds up to Pixar's other releases.	David Margosian, Jennifer Menken, Matt Waterhouse
Sat	12:30:00 PM	01:30:00 PM	Edina	TV	To Boldly Go: The History and Future of Star Trek	Celebrate the rich history of Star Trek as we review what has come before. If you've fallen out of Trek in the last few years, come back and rediscover what you loved about it in the first place.	Daren Dochterman, Kenneth Hite, Bridget Landry, Robert Meyer Burnett, Andrew Probert, Video Team
Sat	12:30:00 PM	01:30:00 PM	Kr	Lit	Writing Business: Cover letters, manuscripts, and rejections	Back to basics. There are books that handle this topic fairly well, but nothing substitutes for experience. Active pros and semi-pros in writing, editing and publishing talk about the dos and don'ts.	Roy C. Booth, Holly Day, Kelly McCullough, Michael Merriam, Adam Stemple, Anna Waltz
Sat	12:30:00 PM	01:30:00 PM	P1	AV	Podcasting	Do you want to learn how to start your own podcast? What are some of the best podcasts out there to learn from? What software and equipment do you need to get started?	Shannon Grady, Taylor Kent, Troy LaFaye, Tim Wilsie
Sat	12:30:00 PM	01:30:00 PM	Sign	Auto	Signing w/ Trace B.	Signing/Autographing	Trace Beaulieu
Sat	02:00:00 PM	03:00:00 PM	101	Proj	Reaper Miniature Demonstration	Join one of Reaper's Black Lightning representatives for apaint and take party. All paints, brushes, and miniatures will be provided.	Erin Warfield
Sat	02:00:00 PM	03:00:00 PM	A3	Arts	Corset-making	Share your successes in corset design and building. What are some pitfalls to avoid?	Dana M. Baird, Eve Cain, Mariah Fryer, Amada Marquez
Sat	02:00:00 PM	03:00:00 PM	A4	HotDish	Puppetry!	From MST3K to the Muppet Show, Farscape to Captain Scarlet, The Dark Crystal to Yoda, there have been a number of series and movies that used puppets as characters. Discuss your favorites and learn about current puppet-related shows.	Trace Beaulieu, Christian Colquhoun, David Margosian, Gordon Smuder
Sat	02:00:00 PM	03:00:00 PM	A6	Comics	Legion of the All-Stars	Join many of our comic book guests of honor in a wide-ranging roundtable discussion of a 'state of the union' of the comics industry.	Mark Evanier, ASL Interpreter, Christopher Jones, Video Team, Dan Wallace, Len Wein, Greg Weisman, Marv Wolfman, Bernie Wrightson
Sat	02:00:00 PM	03:00:00 PM	A7	Science	The Green Panel	Many scientists agree that Global Warming is a real threat to the future of Mankind. Some disagree. What do you think? What about alternatives to oil and other power sources? Where's our personal fusion reactors?	Matthew Lee Davis, Ken Konkol, G. David Nordley, Emily Stewart, Chuck Waibel
Sat	02:00:00 PM	03:00:00 PM	A8	HotDish	Caring For Your Collection	What's the best way to store and display your geek collection? Share ideas, best practices, and things to avoid when it comes to home and apartment display of DVDs, games, comics, artwork, etc.	Melissa Kaercher, Jenni Klumpp, Tim Wick
Sat	02:00:00 PM	03:00:00 PM	Bloom	Movies	Trilogy Limitations: What happened to the franchise?	Shrek the Third, Pirates 3, Spider-Man 3 - what happened to these movie franchises? Why stop at three films? Should they have stopped at one? Are we suffering fromFranchise Fatigue?	Garnet Gyre, Derek Mahr
Sat	02:00:00 PM	03:00:00 PM	Edina	TV	Battlestar Galactica: Legacy	The final season of Battlestar Galactica is upon us. Will the Colonial Fleet find Earth? Who is the final Cylon? Will the Caprica prequel be any good? Whatever the answers, the reimangined BSG series has set the bar so high in terms of acting, story, and effects, that any genre show coming in its footsteps will have awfully big shoes to fill.	Julie Graves, Philip Kaveny, Michael Scott Shappe, Scott Smith, Jason D. Wittman
Sat	02:00:00 PM	03:00:00 PM	Kr	Lit	The Works of David Weber	Com and hear David Weber talk about his work. Discussion sponsored by Second Foundation, a speculative fiction book discussion group that has met regularly since 1983.	Eric M. Heideman, ASL Interpreter, Polly Jo Peterson, Video Team, David Weber
Sat	02:00:00 PM	03:00:00 PM	P1	AV	Wonder Twin Science Powers Activate!	Dr. Jim and Bridget Landry sharing the stage at last, by popular demand! Learn about their ongoing projects and research!	Dr. Jim Kakalios, Bridget Landry
Sat	03:30:00 PM	04:30:00 PM	101	Proj	Scrapbooking	Share scrapbooking techniques and learn the in's and out's of one of the fastest growing hobbies in the United States. There are many creative ways to display your CONvergence photo memories.	Teri Blauer, Geoff Williams
Sat	03:30:00 PM	04:30:00 PM	A2	Gaming	Console Wars II: The Sequel	We're another year into the life-cycles of the X-Box 360, Nintendo Wii, and Playstation 3. Have there been any big surprises over the past year? How will Blu-Ray victory, the Red Ring of Death, direct downloads, and the casual gaming market influence console choice? Is it high-time everyone just goes multi-console and buys all three?	Matt Everhart, Scott Smith
